Protein Accession,Gene name,DEPs in Early B/B stages,t.test p-value in Early B/B stages,log2 FoldChange in Early B/B stages,DEPs in Late B/B stages,t.test p-value in Late B/B stages,log2 FoldChange in Late B/B stages
Q15700,DLG2,,0.0502,-0.2586,*,0.0000,-0.7040
Q14247,CTTN,,0.0742,-0.4526,*,0.0054,-1.1594
P15531,NME1,,0.1110,-0.3733,*,0.0015,-0.9358
Q5U5X0,LYRM7,,0.0384,-0.4874,*,0.0085,-1.1145
Q86YM7,HOMER1,,0.0782,-0.3638,*,0.0008,-0.8518
P31146,CORO1A,,0.0619,-0.2589,*,0.0060,-0.6145
O43181,NDUFS4,,0.0948,-0.4141,*,0.0014,-1.2424
P51608,MECP2,,0.1125,-1.0106,*,0.0051,-2.7662
Q4V328,GRIPAP1,,0.1049,-0.2911,*,0.0055,-0.8018
P46777,RPL5,,0.2507,-0.2212,*,0.0167,-0.6850
Q86UL8,MAGI2,,0.2155,-0.4929,*,0.0222,-1.6254
P53677,AP3M2,,0.1946,-0.4956,*,0.0053,-1.6471
Q08495,DMTN,,0.2884,-0.2860,*,0.0017,-0.9597
P55809,OXCT1,,0.3131,-0.1895,*,0.0044,-0.6873
O15083,ERC2,,0.1744,-0.4152,*,0.0060,-1.5876
O15240,VGF,,0.1141,-0.5172,*,0.0091,-1.8898
P11137,MAP2,,0.2195,-0.2097,*,0.0056,-0.7990
