Protein Accession,Gene name,DEPs in Early B/B stages,t.test p-value in Early B/B stages,log2 FoldChange in Early B/B stages,DEPs in Late B/B stages,t.test p-value in Late B/B stages,log2 FoldChange in Late B/B stages
Q86YM7,HOMER1,,0.1098,-0.8899,*,0.0190,-0.6684
Q9BYB0,SHANK3,,0.1622,-1.0144,*,0.0382,-0.6942
Q12849,GRSF1,*,0.0459,-0.9933,,0.1476,-0.5949
Q9BXF6,RAB11FIP5,*,0.0421,-1.0372,,0.2298,-0.6139
Q99784,OLFM1,,0.0747,-1.0010,*,0.0085,-0.6364
Q8N3V7,SYNPO,,0.0690,-1.4590,*,0.0032,-0.8719
O14490,DLGAP1,*,0.0379,-1.1357,,0.1044,-0.6010
Q06481,APLP2,*,0.0311,-0.9275,,0.2003,-0.4871
Q96PV0,SYNGAP1,,0.0631,-1.1722,*,0.0411,-0.6184
O15027,SEC16A,*,0.0421,-0.7184,,0.2743,-0.3638
Q96GG9,DCUN1D1,*,0.0325,-0.5942,,0.2627,-0.3026
Q96KG9,SCYL1,*,0.0285,-2.2801,,0.2901,-1.2334
P62750,RPL23A,*,0.0494,-1.0880,,0.3520,-0.5305
Q92530,PSMF1,*,0.0438,-1.8406,,0.3099,-0.8237
Q9UPA5,BSN,,0.0951,-1.6032,*,0.0376,-0.6687
P03928,MT-ATP8,*,0.0025,-1.5847,*,0.0043,-0.9694
Q8TF74,WIPF2,*,0.0041,-1.3548,,0.0568,-0.7245
Q5H9L2,TCEAL5,*,0.0168,-0.8199,,0.1139,-0.3908
Q6ZV89,SH2D5,*,0.0190,-1.3122,*,0.0305,-1.1766
P29323,EPHB2,*,0.0431,-0.6633,,0.0487,-0.5783
Q9BQI5,SGIP1,,0.0591,-1.1488,*,0.0153,-1.0154
O75380,NDUFS6,*,0.0443,-1.7208,,0.1560,-1.2403
O75382,TRIM3,*,0.0263,-0.6518,,0.1466,-0.5047
P49750,YLPM1,*,0.0291,-0.7193,,0.0800,-0.5359
P15882,CHN1,*,0.0191,-0.7944,,0.1253,-0.6092
Q5SW79,CEP170,*,0.0430,-0.9814,,0.1016,-0.7541
Q13224,GRIN2B,,0.0152,-1.8651,*,0.0271,-1.4432
Q9UI08,EVL,,0.0072,-0.8541,*,0.0087,-0.6421
Q9HCD6,TANC2,,0.0156,-1.2587,*,0.0043,-0.8883
P14854,COX6B1,*,0.0251,-1.0838,,0.0757,-0.7856
P35609,ACTN2,*,0.0320,-0.7269,,0.0155,-0.5443
Q9BRP8,WIBG,*,0.0378,-1.0271,*,0.0268,-0.7030
Q9Y6V0,PCLO,*,0.0438,-1.6038,,0.0584,-1.0287
O60313,OPA1,*,0.0185,-0.7433,,0.0553,-0.4240
P11137,MAP2,*,0.0201,-0.9263,*,0.0015,-0.5856
